"CHEMICAL_NAME"	"omics_layer"	"logFC_post"	"AveExpr_post"	"t_post"	"P.Value_post"	"adj.P.Val_post"	"B_post"	"sig_post"	"logFC_post_NGT"	"AveExpr_post_NGT"	"t_post_NGT"	"P.Value_post_NGT"	"adj.P.Val_post_NGT"	"B_post_NGT"	"sig_post_NGT"	"logFC_post_T2D"	"AveExpr_post_T2D"	"t_post_T2D"	"P.Value_post_T2D"	"adj.P.Val_post_T2D"	"B_post_T2D"	"sig_post_T2D"	"logFC_rec"	"AveExpr_rec"	"t_rec"	"P.Value_rec"	"adj.P.Val_rec"	"B_rec"	"sig_rec"	"logFC_rec_NGT"	"AveExpr_rec_NGT"	"t_rec_NGT"	"P.Value_rec_NGT"	"adj.P.Val_rec_NGT"	"B_rec_NGT"	"sig_rec_NGT"	"logFC_rec_T2D"	"AveExpr_rec_T2D"	"t_rec_T2D"	"P.Value_rec_T2D"	"adj.P.Val_rec_T2D"	"B_rec_T2D"	"sig_rec_T2D"
"propionylcarnitine (C3)"	"metabolome"	1.47704878992869	6.32253901021553	13.4751253035111	1.66998111382656e-28	1.41280402229727e-25	54.161280428337	TRUE	1.67281551238834	6.32253901021553	10.184001656752	2.92747032199635e-19	1.89261625301686e-16	33.1772699500289	TRUE	1.28128206746905	6.32253901021553	8.82511039744035	1.39867307050166e-15	1.18327741764441e-12	24.8922687370392	TRUE	0.0165051168737929	6.32253901021553	0.150576283965672	0.8804912040937	0.929666882955974	-6.84945721254429	FALSE	0.0566175127063637	6.32253901021553	0.344684060455394	0.730764435551026	0.882405896268091	-6.5453867781325	FALSE	-0.023607278958778	6.32253901021553	-0.16260029566005	0.871029210378441	0.930417565631517	-6.51358135913818	FALSE
"3-(4-hydroxyphenyl)lactate"	"metabolome"	0.935066670868656	-0.0948138262522773	13.0204339719975	3.21411563198434e-27	1.35957091232937e-24	51.2388532865285	TRUE	1.05221698581548	-0.0948138262522773	9.7773381009866	3.82283965553834e-18	1.07804078286181e-15	30.6622837379023	TRUE	0.817916355921831	-0.0948138262522773	8.59862883573317	5.53134338246394e-15	2.33975825078225e-12	23.5499332475163	TRUE	0.533996178564812	-0.0948138262522773	7.43568581889788	5.12825392334274e-12	6.19786117021137e-10	16.8712102394799	TRUE	0.672694347814265	-0.0948138262522773	6.25076402098315	3.27158340068049e-09	5.53551911395139e-07	10.7069598357295	TRUE	0.395298009315359	-0.0948138262522773	4.15570716613939	5.16223311911486e-05	0.0010156393532026	1.5583023597981	TRUE
"isocitric lactone"	"metabolome"	1.94734617714086	-4.9478876397428	13.5374606119084	1.38483757058083e-25	3.90524194903794e-23	47.6042478456691	TRUE	2.28041528654017	-4.9478876397428	10.7401333013326	4.47427010169471e-19	1.89261625301686e-16	32.7842841348718	TRUE	1.61427706774154	-4.9478876397428	8.34737728979279	1.72930160879353e-13	3.6574729025983e-11	20.2704015738759	TRUE	-0.0369558334481841	-4.9478876397428	-0.248770370076887	0.803980424288415	0.891438321032764	-6.6487495989901	FALSE	-0.108390338333773	-4.9478876397428	-0.496299735246888	0.620626566498803	0.829462994088448	-6.32200654771743	FALSE	0.0344786714374044	-4.9478876397428	0.171223601093482	0.864347697669341	0.930328437949444	-6.31086063942529	FALSE
"glycerol"	"metabolome"	1.02311448067304	-1.04809548317365	11.07610493344	9.7070136102033e-22	2.053033378558e-19	38.7709509985435	TRUE	1.18502587061891	-1.04809548317365	8.56097255329198	6.94340078749985e-15	1.46852926655622e-12	23.3224120849103	TRUE	0.861203090727174	-1.04809548317365	7.03891689345603	4.75461887876269e-11	4.46934174603693e-09	14.7233745510697	TRUE	-0.0243226768552567	-1.04809548317365	-0.263314151250948	0.792632187134412	0.887249167692094	-6.82624647393049	FALSE	0.0485914707137856	-1.04809548317365	0.351038958236034	0.726000391824674	0.882405896268091	-6.54320456735341	FALSE	-0.0972368244242989	-1.04809548317365	-0.794750893808676	0.427883418767684	0.630542635417564	-6.21616977468014	FALSE
"isobutyrylcarnitine (C4)"	"metabolome"	2.38409873140706	2.36670990202342	11.0742192754	2.9784154842406e-21	5.03947899933509e-19	37.6997921157392	TRUE	2.46670984541564	2.36670990202342	7.6912738977593	1.72184624028702e-12	2.91336383856565e-10	17.9646064473037	TRUE	2.30148761739849	2.36670990202342	8.01380115249399	2.76847816156531e-13	3.90355420780709e-11	19.757634456106	TRUE	-0.468584926720838	2.36670990202342	-2.12709574763656	0.035032118442972	0.103265408371966	-4.59505023383064	FALSE	-0.651544525431413	2.36670990202342	-1.99427345148102	0.0479171084128365	0.250233788378146	-4.62874527658315	FALSE	-0.285625328010263	2.36670990202342	-0.966307850686802	0.335430686672669	0.541093191719422	-6.00826747272288	FALSE
"citrate"	"metabolome"	1.01530577914752	3.06355576940175	10.3905103066006	7.87023601511667e-20	1.10970327813145e-17	34.4304909041211	TRUE	0.932804085881763	3.06355576940175	6.37034424994299	1.75274418266491e-09	1.85352697316814e-07	11.2043664228487	TRUE	1.09780747241328	3.06355576940175	8.48210471435789	1.1165065869296e-14	3.14854857514147e-12	22.8644093605813	TRUE	0.54255143374048	3.06355576940175	5.55240241897835	1.0859535757605e-07	4.37484154806373e-06	7.20573326185092	TRUE	0.56653158206257	3.06355576940175	3.86898091552834	0.0001562899361121	0.00601005845231081	0.472067515933603	TRUE	0.518571285418391	3.06355576940175	4.00669156961439	9.24685015118129e-05	0.00166443302721263	1.01469716478532	TRUE
"3-hydroxyisobutyrate"	"metabolome"	1.13134438000719	-2.02867672345684	9.72519137768526	1.03106466625339e-17	1.24611529664338e-15	29.6451788319681	TRUE	1.10377006286331	-2.02867672345684	6.33894518634444	2.45241265027681e-09	2.07474110213418e-07	10.893332854522	TRUE	1.15891869715107	-2.02867672345684	7.5102100159936	4.5248457465615e-12	5.46859928798719e-10	17.0280754418499	TRUE	0.6531055892058	-2.02867672345684	5.37108088392855	2.8479592573109e-07	9.6374941267401e-06	6.31996862430177	TRUE	0.788367779251565	-2.02867672345684	4.33478240345774	2.62901715261194e-05	0.00215295627814821	2.17716323194866	TRUE	0.517843399160036	-2.02867672345684	3.21279548683476	0.00160205176536194	0.0134191662722396	-1.56990377303993	TRUE
"(S)-3-hydroxybutyrylcarnitine"	"metabolome"	1.80625465162989	4.07995223018721	9.58965891639229	1.24038457488771e-17	1.31170668794375e-15	29.4372790863306	TRUE	1.8012641523496	4.07995223018721	6.3816654187765	1.65160738134841e-09	1.85352697316814e-07	11.2619946474161	TRUE	1.81124515091019	4.07995223018721	7.26003719328705	1.38456809509947e-11	1.46418076056768e-09	15.9229312153467	TRUE	1.22061425934565	4.07995223018721	6.48041205322138	9.81021341568224e-10	8.29944054966717e-08	11.7599679931621	TRUE	1.29322373868733	4.07995223018721	4.58173844250246	8.97213144884803e-06	0.00094880290071568	3.15376933742808	TRUE	1.14800478000397	4.07995223018721	4.60156229912436	8.2464048387412e-06	0.00030332428232935	3.27887844396477	TRUE
"aconitate [cis or trans]"	"metabolome"	0.98473734825857	-0.213396047428224	9.08234347243018	2.9990479150057e-16	2.81910504010536e-14	26.2996011149053	TRUE	0.830826731133118	-0.213396047428224	5.10355663633134	9.01822689527293e-07	4.76838747087556e-05	5.18332970680192	TRUE	1.13864796538402	-0.213396047428224	7.94866208223569	2.71570912689966e-13	3.90355420780709e-11	19.7526013252082	TRUE	0.479921824565832	-0.213396047428224	4.42637304082199	1.7280099558116e-05	0.0002564730565994	2.35241098347475	TRUE	0.480587136891296	-0.213396047428224	2.95212416730014	0.00361215061859377	0.0517945664971242	-2.40620339442399	FALSE	0.479256512240369	-0.213396047428224	3.34558896368358	0.00101479635620193	0.0095390857482981	-1.19571369271052	TRUE
"mannitol/sorbitol"	"metabolome"	1.11094869564568	1.84219410144116	8.85256429997072	1.18295804570287e-15	1.00078250666463e-13	24.9447375437184	TRUE	1.21764069445244	1.84219410144116	6.4748048542092	1.01059360580951e-09	1.42493698419141e-07	11.738430898602	TRUE	1.00425669683892	1.84219410144116	6.04167348764005	9.5827902262695e-09	5.79074323673143e-07	9.57932785750437	TRUE	0.729028221301726	1.84219410144116	5.80924144459784	3.08434476918569e-08	1.86382548195078e-06	8.42048273768209	TRUE	0.755424723211288	1.84219410144116	4.01697125196493	8.88681168323935e-05	0.0042330518456237	0.998645440287715	TRUE	0.702631719392165	1.84219410144116	4.22707804089205	3.88355223467144e-05	0.00082137129763301	1.82434907011894	TRUE
"acetyl CoA"	"metabolome"	1.21788436690771	-5.03958959383794	8.73098222199192	6.69375965371847e-15	5.14810969731438e-13	23.3164873408016	TRUE	1.31532506884509	-5.03958959383794	6.41230375031367	2.03612113484412e-09	1.91395386675348e-07	11.1112935817764	TRUE	1.12044366497033	-5.03958959383794	5.93918006663459	2.14379111080455e-08	1.13352954983791e-06	8.87302133699757	TRUE	0.621538684263171	-5.03958959383794	4.38141864601586	2.29164709644033e-05	0.00031782515468664	2.16304634644118	TRUE	0.61833335193698	-5.03958959383794	2.99911416843553	0.00320386302346988	0.0484012163902771	-2.24884743737275	TRUE	0.624744016589363	-5.03958959383794	3.2079312218065	0.00165621581652091	0.0136871142591149	-1.54338034796303	TRUE
"acetylcarnitine (C2)"	"metabolome"	0.884628115058167	11.2399073473637	8.48306654285153	1.11006847513675e-14	7.82598274971405e-13	22.7401745581131	TRUE	0.810755755908358	11.2399073473637	5.1881750330203	6.07823054937659e-07	3.67298788912328e-05	5.55802447741022	TRUE	0.958500474207975	11.2399073473637	6.9393995838525	8.23234507321958e-11	6.96456393194376e-09	14.1899759613945	TRUE	0.602265619388455	11.2399073473637	5.77537525518056	3.64853879885548e-08	2.05777588255449e-06	8.2582074667257	TRUE	0.653381980032831	11.2399073473637	4.18111132869326	4.66673942680844e-05	0.00282004396791425	1.60158347152863	TRUE	0.551149258744079	11.2399073473637	3.99023791817072	9.85221001720805e-05	0.00173645201553292	0.955670619623497	TRUE
