"CHEMICAL_NAME"	"omics_layer"	"logFC_post_M"	"AveExpr_post_M"	"t_post_M"	"P.Value_post_M"	"adj.P.Val_post_M"	"B_post_M"	"sig_post_M"	"logFC_post_W"	"AveExpr_post_W"	"t_post_W"	"P.Value_post_W"	"adj.P.Val_post_W"	"B_post_W"	"sig_post_W"	"logFC_rec_M"	"AveExpr_rec_M"	"t_rec_M"	"P.Value_rec_M"	"adj.P.Val_rec_M"	"B_rec_M"	"sig_rec_M"	"logFC_rec_W"	"AveExpr_rec_W"	"t_rec_W"	"P.Value_rec_W"	"adj.P.Val_rec_W"	"B_rec_W"	"sig_rec_W"
"glycerol"	"metabolome"	1.18366579419034	-1.04809548317365	9.2575606303343	9.8036647580818e-17	8.29390038533721e-14	27.4843033414701	TRUE	0.81635134418651	-1.04809548317365	6.27371226467144	2.90396121460268e-09	2.72972354172652e-07	10.7640968918773	TRUE	0.0311264131592139	-1.04809548317365	0.243442581884664	0.807960549725838	0.937633230546035	-6.40108394285097	FALSE	-0.0999806284053637	-1.04809548317365	-0.768357520475867	0.443357103450869	0.661516948006058	-6.28128055564788	FALSE
"propionylcarnitine (C3)"	"metabolome"	1.39724203286414	6.32253901021553	9.0856150325592	2.83460970722681e-16	9.91977810925413e-14	26.4444864659888	TRUE	1.51076410770207	6.32253901021553	9.65293461713834	8.34800789125655e-18	7.06241467600304e-15	29.8852956634664	TRUE	-0.00358101832013258	6.32253901021553	-0.0232856964763455	0.981450107384589	0.993189941204979	-6.42986258463325	FALSE	0.0272805150807995	6.32253901021553	0.174307178105628	0.861834626599466	0.935644062876049	-6.55702424899377	FALSE
"isocitric lactone"	"metabolome"	2.02007402225987	-4.9478876397428	9.50780148588181	3.51765181179224e-16	9.91977810925413e-14	26.3017331850007	TRUE	1.80506523668749	-4.9478876397428	8.75251594176161	2.01776104223178e-14	5.69008613909362e-12	22.3452851836984	TRUE	0.029073616384216	-4.9478876397428	0.1358504531643	0.892176109139151	0.964101535809763	-6.24151934178589	FALSE	-0.0887646140222529	-4.9478876397428	-0.412913872304858	0.680435612653083	0.837916343965806	-6.32007515168131	FALSE
"3-(4-hydroxyphenyl)lactate"	"metabolome"	0.889881520067381	-0.0948138262522773	8.86408235780323	1.10276865552233e-15	2.33235570642973e-13	25.1143913658845	TRUE	0.952577998318984	-0.0948138262522773	9.3235683223457	6.51148574999748e-17	2.75435847224894e-14	27.8826020230728	TRUE	0.578034253073148	-0.0948138262522773	5.75778135552663	3.98043935127219e-08	6.73490338235254e-06	8.36034200902675	TRUE	0.453710773368814	-0.0948138262522773	4.44079477119301	1.62229278882732e-05	0.00054898387973916	2.61519217796635	TRUE
"citrate"	"metabolome"	1.1886112162328	3.06355576940175	8.81359394193803	1.50060569821225e-15	2.53902484137513e-13	24.8128519127614	TRUE	0.856436285482788	3.06355576940175	6.24005316258548	3.45867574283147e-09	2.92603967843542e-07	10.5952075320143	TRUE	0.566142248272013	3.06355576940175	4.19796466792563	4.36353843389952e-05	0.00188476329698111	1.77231771421351	TRUE	0.512123053038021	3.06355576940175	3.73136347783464	0.00026052334845414	0.00423851447677326	0.02091303288171	TRUE
"aconitate [cis or trans]"	"metabolome"	1.26525743766715	-0.213396047428224	8.45645648532823	1.34130784923022e-14	1.89124406741462e-12	22.6726630773091	TRUE	0.740260484245512	-0.213396047428224	4.89679442968364	2.2902566016408e-06	0.00012109731781175	4.35447245364867	TRUE	0.542418425645658	-0.213396047428224	3.62530001939371	0.00038327837597797	0.00926438588792483	-0.230581060555136	TRUE	0.422611019673398	-0.213396047428224	2.795555525524	0.00579045016325929	0.0365576181949057	-2.80546162650677	TRUE
"3-methyl-2-oxobutyrate"	"metabolome"	1.10448919867935	-1.85767503362241	7.98255261328334	2.17361836640012e-13	2.62697305424929e-11	19.9463639342182	TRUE	0.569562821750852	-1.85767503362241	4.04484576699284	7.97661953100609e-05	0.00293400874923093	0.989037328694772	TRUE	0.297973413936772	-1.85767503362241	2.15356425119778	0.0327048619889998	0.16354208035813	-4.18849059553954	FALSE	-0.00579949365224364	-1.85767503362241	-0.0411860754497086	0.967196622779192	0.98465504557304	-6.57117510088983	FALSE
"isobutyrylcarnitine (C4)"	"metabolome"	2.32483752808221	2.36670990202342	7.82868950564546	7.93268587946401e-13	8.38881531753319e-11	18.7074476890102	TRUE	2.41665931502909	2.36670990202342	7.93400797218763	4.36357061058357e-13	9.22895184138425e-11	19.3229955574735	TRUE	-0.221187630434703	2.36670990202342	-0.719650286593769	0.472849452100715	0.724464879898466	-6.12393072013831	FALSE	-0.679096102183528	2.36670990202342	-2.19908091388354	0.0293886565076377	0.115640946071914	-4.18561638298018	FALSE
"cortisol"	"metabolome"	1.55100786208237	-5.14712236350839	8.01750529851768	2.27078519400365e-12	2.13453808236343e-10	17.8028865682569	TRUE	0.750988980669483	-5.14712236350839	3.59036694399229	0.00051705389618573	0.0124979313192324	-0.574827668807004	TRUE	-0.284188426589198	-5.14712236350839	-1.04945854232041	0.296536692330255	0.5879556878067	-5.46647442505541	FALSE	-0.53718583442352	-5.14712236350839	-2.14905241116539	0.0340819675862042	0.129199031302761	-4.02733329650126	FALSE
"3-hydroxyisobutyrate"	"metabolome"	1.17967395801218	-2.02867672345684	7.25093131227697	1.9041598985185e-11	1.61091927414665e-09	15.5992446812286	TRUE	1.09124641303714	-2.02867672345684	6.6058892415888	6.12214893742553e-10	6.58455005787337e-08	12.2840523574324	TRUE	0.708744486813748	-2.02867672345684	4.14548256358182	5.59067786532039e-05	0.00225224451145764	1.57743829425772	TRUE	0.562881651631272	-2.02867672345684	3.28865740694806	0.00124838521690423	0.0124251046294233	-1.38512990341807	TRUE
"cortisone"	"metabolome"	1.05720282945226	-6.01691395485582	7.68517915320867	2.35971019520722e-11	1.81483165922301e-09	15.5683719794355	TRUE	0.647165310003281	-6.01691395485582	3.30773250991861	0.0013774706839971	0.0238321558299398	-1.24558966798882	TRUE	0.457122818512755	-6.01691395485582	2.87514001320637	0.00509635483577876	0.0552758486034465	-2.32610535101819	FALSE	0.365244534294521	-6.01691395485582	1.66692791015015	0.0991904174931205	0.264276429486388	-4.67703846687237	FALSE
"(S)-3-hydroxybutyrylcarnitine"	"metabolome"	1.80401705368037	4.07995223018721	6.98825445411765	6.29113436486708e-11	4.43524972723129e-09	14.4167755543623	TRUE	1.80981978861198	4.07995223018721	6.88879753020505	1.08668245114117e-10	1.83866670733086e-08	13.944128177056	TRUE	0.864890472180313	4.07995223018721	3.35034232753371	0.00099741757676791	0.0191776197714922	-1.10911267898536	TRUE	1.57089009764577	4.07995223018721	5.97934882410872	1.31465211801947e-08	1.58885098834924e-06	9.38281117038302	TRUE
"mannitol/sorbitol"	"metabolome"	1.12264628265026	1.84219410144116	6.43446081286317	1.25088000097899e-09	8.14034216021713e-08	11.5092854723527	TRUE	1.07216033797497	1.84219410144116	6.03822054976849	9.7529888573338e-09	7.50093506664036e-07	9.59439221202719	TRUE	0.812669782665815	1.84219410144116	4.657826735966	6.48193236777835e-06	0.00045697623192837	3.55351728228801	TRUE	0.635800335840104	1.84219410144116	3.58071691093376	0.00044867321860081	0.00602504036406812	-0.481560499803481	TRUE
"N-acetyl-isoputreanine"	"metabolome"	-0.782025967509522	2.03105411697799	-6.38985056610853	1.58215537129287e-09	9.56073888652691e-08	11.2811903895499	TRUE	-0.576532201311637	2.03105411697799	-4.628850063403	7.33952251301302e-06	0.00032680189715836	3.24470194746094	TRUE	-0.348374220195984	2.03105411697799	-2.84652850496275	0.00497286461295531	0.0546369280851973	-2.55387528497666	FALSE	-0.461754934229102	2.03105411697799	-3.70732866563282	0.00028444252793433	0.00445626627097126	-0.0604298035093853	TRUE
"acetylcarnitine (C2)"	"metabolome"	0.907489007369398	11.2399073473637	6.26856332868765	2.98276888153955e-09	1.6822816491883e-07	10.6659130135524	TRUE	0.879418852094698	11.2399073473637	5.96901173572825	1.38516418603879e-08	9.76540751157346e-07	9.25601660689628	TRUE	0.482198046281566	11.2399073473637	3.33082711254821	0.0010653057886667	0.020027748826934	-1.1689286216925	TRUE	0.713842229945239	11.2399073473637	4.84516864501187	2.8656221907412e-06	0.00014260684549218	4.25203419682245	TRUE
"saccharopine"	"metabolome"	1.06731760988031	3.09089221074137	5.97497197297556	1.4672632138135e-08	7.75815424303886e-07	9.13797263404323	TRUE	0.504211318936106	3.09089221074137	2.73330358759528	0.00698333851279065	0.061086747068717	-3.10437081488209	FALSE	0.10088996646837	3.09089221074137	0.558837778925858	0.577061400763022	0.809608532413792	-6.25328393942537	FALSE	-0.105724008935414	3.09089221074137	-0.571394153503433	0.56854213010176	0.746873667804486	-6.38014178967093	FALSE
"indolelactate"	"metabolome"	0.795390870580602	-3.02407553588272	5.79983610625153	3.2319534493534e-08	1.60837212832528e-06	8.35831655440196	TRUE	0.549362103420254	-3.02407553588272	3.9361698764637	0.00012118600121844	0.00410093428123219	0.596490545494258	TRUE	0.465372483403676	-3.02407553588272	3.39340597426063	0.00086165116180066	0.0176280660851909	-0.976043285085121	TRUE	0.271312729130719	-3.02407553588272	1.94395096577773	0.0535775524072398	0.178368933839221	-4.72883863042632	FALSE
"acetyl CoA"	"metabolome"	1.1191634124307	-5.03958959383794	5.74312583556815	5.52474202055704e-08	2.45996407862698e-06	7.91371210260504	TRUE	1.2903078905756	-5.03958959383794	6.67894009135982	5.19104073138829e-10	6.58455005787337e-08	12.4752459544597	TRUE	0.402666847068729	-5.03958959383794	2.04904236766235	0.0423196563683329	0.19588955955711	-4.32305676974791	FALSE	0.830079390567783	-5.03958959383794	4.22161212910328	4.33313511468056e-05	0.00122194410233992	1.75053027754312	TRUE
"4-methyl-2-oxopentanoate"	"metabolome"	0.835105715375175	-1.91387866532288	5.70597062345023	5.13835061316319e-08	2.4150247881867e-06	7.91028466153236	TRUE	0.258011128606426	-1.91387866532288	1.73223388847608	0.0850733664209043	0.240660214888745	-5.27691941973191	FALSE	0.397744844775316	-1.91387866532288	2.71764443486911	0.00726653058102312	0.0728061822663755	-2.88946018532856	FALSE	0.145278048444018	-1.91387866532288	0.975367070892037	0.330785204806878	0.555217337087512	-6.10403321339502	FALSE
"4-hydroxyhippurate"	"metabolome"	1.91522994595367	-5.66080382099868	5.92571044456553	7.37863630476768e-08	3.12116315691673e-06	7.85209909632002	TRUE	1.07549312426475	-5.66080382099868	4.89459835709057	4.98524290714097e-06	0.00023430641663562	3.84906045251856	TRUE	0.523250887006485	-5.66080382099868	1.59838627399621	0.113877760464736	0.350467726351825	-4.63426395020953	FALSE	0.0124848847232553	-5.66080382099868	0.0531556916485322	0.957739642015856	0.97974333391223	-6.25237347624302	FALSE
"isovalerylcarnitine (C5)"	"metabolome"	1.82584050215095	2.31817651610932	5.60285847865686	1.04381938986109e-07	4.20510097058324e-06	7.25951855190483	TRUE	2.27494761942787	2.31817651610932	6.63357754547439	6.22652487742163e-10	6.58455005787337e-08	12.2961940060405	TRUE	-0.472556159252447	2.31817651610932	-1.39651282149509	0.164717247884711	0.417217939252891	-5.42451332553732	FALSE	-0.839017641181988	2.31817651610932	-2.25702920387983	0.0255171472536213	0.10582111066943	-3.98238660430689	FALSE
"proline"	"metabolome"	0.350415292251512	9.2435471844274	5.44312921799289	1.83507788212683e-07	7.05670858308773e-06	6.68215609684811	TRUE	0.20392866114247	9.2435471844274	3.11260405171737	0.00218120502299866	0.0310158767218907	-2.08045234199864	TRUE	0.185470519785483	9.2435471844274	2.88098158854348	0.00448345478424962	0.0533055886551064	-2.46178077324003	FALSE	0.0913887014231936	9.2435471844274	1.39488407729158	0.164898379301846	0.353174756681929	-5.61776405535791	FALSE
"3-methyl-2-oxovalerate"	"metabolome"	0.787630620013521	-2.58406939293622	5.22893654164303	5.42442089364338e-07	1.99524351131404e-05	5.65839201499734	TRUE	0.172902653513483	-2.58406939293622	1.10040944612841	0.272854935446204	0.499219690800472	-6.11396830591004	FALSE	0.378776000502022	-2.58406939293622	2.48894948805043	0.0138656518043875	0.0974040580133065	-3.43089481508425	FALSE	0.0437311332638584	-2.58406939293622	0.279357084898271	0.780342149843918	0.895752318545393	-6.49691265414688	FALSE
"N-formylmethionine"	"metabolome"	0.530620063407129	-2.9246452607133	5.1404217160521	7.57502299703671e-07	2.67019560645544e-05	5.318171908687	TRUE	0.461590354728114	-2.9246452607133	4.39391675278259	1.96980375609787e-05	0.00079354951317085	2.30833539059552	TRUE	0.29046351198966	-2.9246452607133	2.81388708742963	0.00548101898075927	0.0581305988252537	-2.64020143129803	FALSE	0.184486527883558	-2.9246452607133	1.75614251300318	0.0808923397379595	0.231982777689199	-5.06464734854786	FALSE
"N-ethylglycinexylidide"	"metabolome"	-1.38793302689992	5.60848213554063	-5.05363687141794	1.12618648583956e-06	3.81101506808106e-05	4.93749504136358	TRUE	-0.628843373184223	5.60848213554063	-2.24987312288318	0.0257594673851327	0.132075814592862	-4.27833206204742	FALSE	-0.0391144196696374	5.60848213554063	-0.142420469587145	0.88691912006612	0.964101535809763	-6.42018653695736	FALSE	0.030720362974396	5.60848213554063	0.109911182861525	0.912611431445441	0.953978711365955	-6.56605240941294	FALSE
"lidocaine"	"metabolome"	-0.920626123140465	11.0743486387139	-4.66037430067704	6.41134225504476e-06	0.00020861521337568	3.27317434215215	TRUE	-0.527972142123176	11.0743486387139	-2.62620442932374	0.0094348194616905	0.0769866172121304	-3.39948777521606	FALSE	0.00343773667190028	11.0743486387139	0.0174024386616006	0.986136282233125	0.994363879343532	-6.42997992110482	FALSE	0.00010605229915583	11.0743486387139	0.00052751839644986	0.999579729180012	0.999579729180012	-6.57201180465851	FALSE
"glutarate (C5-DC)"	"metabolome"	0.893893293375439	-2.83319893214774	4.46865241973434	1.55832979458519e-05	0.00047083821650681	2.4706250275329	TRUE	1.00144843272719	-2.83319893214774	4.92307140289104	2.25546595886524e-06	0.00012109731781175	4.40729119552232	TRUE	-0.165742435352752	-2.83319893214774	-0.813165132826991	0.417434522524638	0.680442400878311	-6.04798324588688	FALSE	-0.0437863647957659	-2.83319893214774	-0.21648251526807	0.828910883137497	0.917877758029218	-6.51362178738065	FALSE
